frame,DetObj#,x,y,z,v,snr,noise
0,0,0.04908227175474167,0.2571294903755188,0.0,0.0,180,855
0,1,-0.5140004754066467,0.2397679090499878,0.0,0.0,167,716
0,2,-0.6598839163780212,1.802680492401123,0.0,0.0,426,665
0,3,-0.18814870715141296,1.9980806112289429,0.0,0.0,473,663
1,0,0.04908227175474167,0.2571294903755188,0.0,0.0,181,845
1,1,-0.5317246317863464,0.1973678022623062,0.0,0.0,166,723
1,2,-0.19769249856472015,1.2496918439865112,0.0,0.0,153,671
1,3,0.5140004754066467,1.1561208963394165,0.0,0.0,153,671
1,4,-0.6598839163780212,1.802680492401123,0.0,0.0,429,670
1,5,-0.18814870715141296,1.9980806112289429,0.0,0.0,471,671
2,0,0.04908227175474167,0.2571294903755188,0.0,0.0,199,837
2,1,-0.5140004754066467,0.2397679090499878,0.0,0.0,168,705
2,2,-0.12543247640132904,2.0029959678649902,0.0,0.0,489,664
2,3,-0.49082276225090027,3.1026833057403564,0.0,0.0,151,853
3,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,162,840
3,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,162,840
3,2,0.04908227175474167,0.2571294903755188,0.0,0.0,200,822
3,3,-0.19769249856472015,1.2496918439865112,0.0,0.0,155,657
3,4,-0.12543247640132904,2.0029959678649902,0.0,0.0,497,657
4,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,156,846
4,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,156,846
4,2,0.08180379122495651,0.24866199493408203,0.0,0.0,166,830
4,3,-0.12543247640132904,2.0029959678649902,0.0,0.0,485,670
4,4,-0.39265820384025574,3.1166279315948486,0.0,0.0,153,852
5,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,162,840
5,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,162,840
5,2,0.04908227175474167,0.2571294903755188,0.0,0.0,197,823
5,3,0.3953849971294403,1.2018663883209229,0.0,0.0,155,667
5,4,-0.07907699793577194,1.2627583742141724,0.0,0.0,155,667
5,5,-0.18814870715141296,1.9980806112289429,0.0,0.0,488,667
5,6,-0.29040345549583435,3.0839943885803223,0.0,0.0,179,819
6,0,0.024541135877370834,0.26061922311782837,0.0,0.0,211,842
6,1,-0.12543247640132904,2.0029959678649902,0.0,0.0,498,655
6,2,-0.49082276225090027,3.1026833057403564,0.0,0.0,159,850
7,0,0.0,0.26177212595939636,0.0,0.0,172,840
7,1,0.2481381595134735,0.5581272840499878,0.0,0.0,161,707
7,2,-0.6598839163780212,1.802680492401123,0.0,0.0,423,678
7,3,-0.18814870715141296,1.9980806112289429,0.0,0.0,487,659
7,4,-0.49082276225090027,3.1026833057403564,0.0,0.0,170,847
7,5,0.5317246317863464,1.1959871053695679,0.0,-0.12173257023096085,207,667
8,0,0.008180378936231136,0.26164427399635315,0.0,0.0,244,832
8,1,-0.591714084148407,0.151502788066864,0.0,0.0,156,713
8,2,0.41992613673210144,1.147160291671753,0.0,0.0,197,637
8,3,-0.5998944640159607,1.823521375656128,0.0,0.0,430,660
8,4,-0.38447779417037964,2.014181137084961,0.0,0.0,391,693
8,5,-0.5889872908592224,3.0855541229248047,0.0,0.0,155,842
8,6,-0.49354955554008484,7.881354331970215,0.0,0.0,154,637
8,7,0.5071834921836853,1.2537912130355835,0.0,-0.12173257023096085,219,681
9,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,152,849
9,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,152,849
9,2,-0.016360757872462273,0.26126033067703247,0.0,0.0,178,846
9,3,-0.5998944640159607,1.823521375656128,0.0,0.0,436,650
9,4,-0.5767167210578918,1.9677770137786865,0.0,0.0,367,694
9,5,0.3681170642375946,1.2560278177261353,0.0,-0.12173257023096085,215,656
10,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,167,835
10,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,167,835
10,2,0.05453586205840111,0.21121647953987122,0.0,0.0,198,816
10,3,-0.5998944640159607,1.823521375656128,0.0,0.0,431,649
10,4,-0.5126370787620544,1.985434889793396,0.0,0.0,341,702
10,5,0.40901896357536316,1.2433099746704102,0.0,-0.12173257023096085,194,663
11,0,-0.07907699793577194,0.03688737004995346,0.0,0.0,153,849
11,1,-0.027267931029200554,0.08288732916116714,0.0,0.0,153,849
11,2,-0.008180378936231136,0.26164427399635315,0.0,0.0,196,826
11,3,0.34357592463493347,1.172292709350586,0.0,0.0,193,620
11,4,-0.11452530324459076,1.216223120689392,0.0,0.0,193,620
11,5,-0.6598839163780212,1.802680492401123,0.0,0.0,469,633
11,6,-0.5767167210578918,1.9677770137786865,0.0,0.0,435,693
12,0,0.0,0.26177212595939636,0.0,0.0,185,837
12,1,-0.6598839163780212,1.802680492401123,0.0,0.0,434,652
12,2,-0.5126370787620544,1.985434889793396,0.0,0.0,413,702
12,3,-0.49082276225090027,3.1026833057403564,0.0,0.0,167,864
13,0,0.016360757872462273,0.26126033067703247,0.0,0.0,193,834
13,1,-0.6598839163780212,1.802680492401123,0.0,0.0,454,634
13,2,-0.5126370787620544,1.985434889793396,0.0,0.0,421,695
13,3,-0.49082276225090027,3.1026833057403564,0.0,0.0,171,863
14,0,0.061352845281362534,0.2093379944562912,0.0,0.0,176,838
14,1,-0.0068169827573001385,0.21803690493106842,0.0,0.0,176,838
14,2,-0.572626531124115,0.21254996955394745,0.0,0.0,170,723
